Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
IC1,SOT95P245X110-5N,110.583,-29.972,T,180,LMV321LICTRT
D6,DIOC2012X06N,61.722,-14.224,T,90,Diode
D5,DIOC2012X06N,52.4256,-14.224,T,90,Diode
D4,DIOC2012X06N,43.1292,-14.224,T,90,Diode
D3,DIOC2012X06N,33.8328,-14.224,T,90,Diode
D2,DIOC2012X06N,24.5364,-14.224,T,90,Diode
D1,DIOC2012X06N,15.24,-14.224,T,90,Diode
C57,CAPCP2012X06N,164.973,-72.263,T,270,680pF
C56,CAPCP2012X06N,165.1,-78.613,T,90,68nF
C55,CAPCP2012X06N,167.259,-52.324,T,270,680pF
C54,CAPCP2012X06N,167.259,-58.42,T,90,68nF
C53,CAPCP2012X06N,171.577,-67.056,T,180,0.1UF
C52,CAPCP2012X06N,172.593,-46.863,T,180,0.1UF
C51,CAPCP2012X06N,142.875,-71.628,T,270,680pF
C50,CAPCP2012X06N,143.002,-77.978,T,90,68nF
C49,CAPCP2012X06N,144.145,-51.562,T,270,680pF
C48,CAPCP2012X06N,143.891,-57.819,T,90,68nF
C47,CAPCP2012X06N,148.59,-67.818,T,180,0.1UF
C46,CAPCP2012X06N,150.207,-45.974,T,180,0.1UF
C45,CAPCP2012X06N,108.331,-76.073,T,270,0.1UF
C44,CAPCP2012X06N,127.635,-75.819,T,270,0.1UF
C43,CAPCP2012X06N,127.381,-56.642,T,270,0.1UF
C42,CAPCP2012X06N,107.95,-55.88,T,270,0.1UF
C41,CAPCP2012X06N,28.128,-28.809,T,180,Cap
C40,CAPCP2012X06N,32.7,-34.651,T,270,Cap
C39,CAPCP2012X06N,43.18,-49.657,T,180,Cap
C38,CAPCP2012X06N,34.036,-57.531,T,90,Cap
C37,CAPCP2012X06N,20.828,-56.134,T,90,Cap
C36,CAPCP2012X06N,20.828,-62.357,T,90,Cap
C35,CAPCP2012X06N,74.93,-60.016,T,90,1UF
C34,CAPCP2012X06N,55.8486,-59.127,T,90,1UF
C33,CAPCP2012X06N,83.9784,-34.278,T,90,1UF
C32,CAPCP2012X06N,43.18,-35.052,T,90,1UF
C31,CAPCP2012X06N,64.643,-35.513,T,90,1UF
C30,CAPCP2012X06N,229.3701,-24.953,T,90,1nF
C29,CAPCP2012X06N,224.482,-24.953,T,90,0.1UF
C28,CAPCP2012X06N,224.482,-31.43,T,90,1nF
C27,CAPCP2012X06N,200.5611,-25.781,T,90,1nF
C26,CAPCP2012X06N,195.673,-25.781,T,90,0.1UF
C25,CAPCP2012X06N,170.7161,-26.924,T,90,1nF
C24,CAPCP2012X06N,195.673,-32.258,T,90,1nF
C23,CAPCP2012X06N,165.701,-26.924,T,90,0.1UF
C22,CAPCP2012X06N,165.701,-33.147,T,90,1nF
C21,CAPCP2012X06N,146.143,-26.67,T,90,1nF
C20,CAPCP2012X06N,119.727,-27.652,T,90,1nF
C19,CAPCP2012X06N,141.698,-26.67,T,90,0.1UF
C18,CAPCP2012X06N,114.774,-27.652,T,90,0.1UF
C17,CAPCP2012X06N,141.698,-32.893,T,90,1nF
C16,CAPCP2012X06N,114.774,-34.34,T,90,1nF
C3,CAPCP2012X06N,233.6546,-52.6796,T,180,Cap
C2,CAPCP2012X06N,205.2488,-48.9458,T,180,Cap
C1,CAPCP2012X06N,188.4934,-53.3908,T,180,Cap
