Net Status Report
Filename     : C:\Users\clayt\Documents\GitHub\arca\ARCA\arca.PcbDoc
Date         : 2021-03-29
Time         : 7:20:25 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    PT2_PREC, Signal Layers Only, 31.2682mm
    PT3, Signal Layers Only, 61.6883mm
    PT3_OUT, Signal Layers Only, 143.2355mm
    PT3_PREC, Signal Layers Only, 40.8346mm
    PT4, Signal Layers Only, 57.556mm
    PT4_OUT, Signal Layers Only, 136.8554mm
    PT4_PREC, Signal Layers Only, 85.1157mm
    SCK, Signal Layers Only, 57.5865mm
    TC1, Signal Layers Only, 82.475mm
    TC2, Signal Layers Only, 83.6691mm
    TC3, Signal Layers Only, 90.5533mm
    TC4, Signal Layers Only, 89.4865mm
count : 131
